title,authors,url,conference
Proximal Causal Learning with Kernels: Two-Stage Estimation and Moment Restriction,"Afsaneh Mastouri, Yuchen Zhu, Limor Gultchin, Anna Korba, Ricardo Silva, Matt Kusner, Arthur Gretton, Krikamol Muandet",https://proceedings.mlr.press/v139/mastouri21a.html,ICML 2021
Causality-aware counterfactual confounding adjustment as an alternative to linear residualization in anticausal prediction tasks based on linear learners,Elias Chaibub Neto,https://proceedings.mlr.press/v139/neto21a.html,ICML 2021
Regularizing towards Causal Invariance: Linear Models with Proxies,"Michael Oberst, Nikolaj Thams, Jonas Peters, David Sontag",https://proceedings.mlr.press/v139/oberst21a.html,ICML 2021
Causal Curiosity: RL Agents Discovering Self-supervised Experiments for Causal Representation Learning,"Sumedh A Sontakke, Arash Mehrjou, Laurent Itti, Bernhard Schölkopf",https://proceedings.mlr.press/v139/sontakke21a.html,ICML 2021
Selecting Data Augmentation for Simulating Interventions,"Maximilian Ilse, Jakub M Tomczak, Patrick Forré",https://proceedings.mlr.press/v139/ilse21a.html,ICML 2021
Asymptotic Normality and Confidence Intervals for Prediction Risk of the Min-Norm Least Squares Estimator,"Zeng Li, Chuanlong Xie, Qinwen Wang",https://proceedings.mlr.press/v139/li21x.html,ICML 2021
Active Learning of Continuous-time Bayesian Networks through Interventions,"Dominik Linzner, Heinz Koeppl",https://proceedings.mlr.press/v139/linzner21a.html,ICML 2021
Deeply-Debiased Off-Policy Interval Estimation,"Chengchun Shi, Runzhe Wan, Victor Chernozhukov, Rui Song",https://proceedings.mlr.press/v139/shi21d.html,ICML 2021
Safe Reinforcement Learning Using Advantage-Based Intervention,"Nolan C Wagener, Byron Boots, Ching-An Cheng",https://proceedings.mlr.press/v139/wagener21a.html,ICML 2021
Conformal prediction interval for dynamic time-series,"Chen Xu, Yao Xie",https://proceedings.mlr.press/v139/xu21h.html,ICML 2021
Learning Queueing Policies for Organ Transplantation Allocation using Interpretable Counterfactual Survival Analysis,"Jeroen Berrevoets, Ahmed Alaa, Zhaozhi Qian, James Jordon, Alexander E. S. Gimson, Mihaela van der Schaar",https://proceedings.mlr.press/v139/berrevoets21a.html,ICML 2021
Counterfactual Credit Assignment in Model-Free Reinforcement Learning,"Thomas Mesnard, Theophane Weber, Fabio Viola, Shantanu Thakoor, Alaa Saade, Anna Harutyunyan, Will Dabney, Thomas S Stepleton, Nicolas Heess, Arthur Guez, Eric Moulines, Marcus Hutter, Lars Buesing, Remi Munos",https://proceedings.mlr.press/v139/mesnard21a.html,ICML 2021
Optimal Counterfactual Explanations in Tree Ensembles,"Axel Parmentier, Thibaut Vidal",https://proceedings.mlr.press/v139/parmentier21a.html,ICML 2021
A Language for Counterfactual Generative Models,"Zenna Tavares, James Koppel, Xin Zhang, Ria Das, Armando Solar-Lezama",https://proceedings.mlr.press/v139/tavares21a.html,ICML 2021
Minimum Cost Intervention Design for Causal Effect Identification,"Sina Akbari, Jalal Etesami, Negar Kiyavash",https://proceedings.mlr.press/v162/akbari22a.html,ICML 2022
End-to-End Balancing for Causal Continuous Treatment-Effect Estimation,"Taha Bahadori, Eric Tchetgen Tchetgen, David Heckerman",https://proceedings.mlr.press/v162/bahadori22a.html,ICML 2022
Causal structure-based root cause analysis of outliers,"Kailash Budhathoki, Lenon Minorics, Patrick Bloebaum, Dominik Janzing",https://proceedings.mlr.press/v162/budhathoki22a.html,ICML 2022
Entropic Causal Inference: Graph Identifiability,"Spencer Compton, Kristjan Greenewald, Dmitriy A Katz, Murat Kocaoglu",https://proceedings.mlr.press/v162/compton22a.html,ICML 2022
Deep Causal Metric Learning,"Xiang Deng, Zhongfei Zhang",https://proceedings.mlr.press/v162/deng22c.html,ICML 2022
On the Adversarial Robustness of Causal Algorithmic Recourse,"Ricardo Dominguez-Olmedo, Amir H Karimi, Bernhard Schölkopf",https://proceedings.mlr.press/v162/dominguez-olmedo22a.html,ICML 2022
Inducing Causal Structure for Interpretable Neural Networks,"Atticus Geiger, Zhengxuan Wu, Hanson Lu, Josh Rozner, Elisa Kreiss, Thomas Icard, Noah Goodman, Christopher Potts",https://proceedings.mlr.press/v162/geiger22a.html,ICML 2022
Causal Inference Through the Structural Causal Marginal Problem,"Luigi Gresele, Julius Von Kügelgen, Jonas Kübler, Elke Kirschbaum, Bernhard Schölkopf, Dominik Janzing",https://proceedings.mlr.press/v162/gresele22a.html,ICML 2022
Strategic Instrumental Variable Regression: Recovering Causal Relationships From Strategic Responses,"Keegan Harris, Dung Daniel T Ngo, Logan Stapleton, Hoda Heidari, Steven Wu",https://proceedings.mlr.press/v162/harris22a.html,ICML 2022
Neuron Dependency Graphs: A Causal Abstraction of Neural Networks,"Yaojie Hu, Jin Tian",https://proceedings.mlr.press/v162/hu22b.html,ICML 2022
On Measuring Causal Contributions via do-interventions,"Yonghan Jung, Shiva Kasiviswanathan, Jin Tian, Dominik Janzing, Patrick Bloebaum, Elias Bareinboim",https://proceedings.mlr.press/v162/jung22a.html,ICML 2022
Matching Learned Causal Effects of Neural Networks with Domain Priors,"Sai Srinivas Kancheti, Abbavaram Gowtham Reddy, Vineeth N Balasubramanian, Amit Sharma",https://proceedings.mlr.press/v162/kancheti22a.html,ICML 2022
Tell me why! Explanations support learning relational and causal structure,"Andrew K Lampinen, Nicholas Roy, Ishita Dasgupta, Stephanie Cy Chan, Allison Tam, James Mcclelland, Chen Yan, Adam Santoro, Neil C Rabinowitz, Jane Wang, Felix Hill",https://proceedings.mlr.press/v162/lampinen22a.html,ICML 2022
CITRIS: Causal Identifiability from Temporal Intervened Sequences,"Phillip Lippe, Sara Magliacane, Sindy Löwe, Yuki M Asano, Taco Cohen, Stratis Gavves",https://proceedings.mlr.press/v162/lippe22a.html,ICML 2022
Causal Transformer for Estimating Counterfactual Outcomes,"Valentyn Melnychuk, Dennis Frauen, Stefan Feuerriegel",https://proceedings.mlr.press/v162/melnychuk22a.html,ICML 2022
Causal Conceptions of Fairness and their Consequences,"Hamed Nilforoshan, Johann D Gaebler, Ravi Shroff, Sharad Goel",https://proceedings.mlr.press/v162/nilforoshan22a.html,ICML 2022
Validating Causal Inference Methods,"Harsh Parikh, Carlos Varjao, Louise Xu, Eric Tchetgen Tchetgen",https://proceedings.mlr.press/v162/parikh22a.html,ICML 2022
Score Matching Enables Causal Discovery of Nonlinear Additive Noise Models,"Paul Rolland, Volkan Cevher, Matthäus Kleindessner, Chris Russell, Dominik Janzing, Bernhard Schölkopf, Francesco Locatello",https://proceedings.mlr.press/v162/rolland22a.html,ICML 2022
Scalable Computation of Causal Bounds,"Madhumitha Shridharan, Garud Iyengar",https://proceedings.mlr.press/v162/shridharan22a.html,ICML 2022
Causal Imitation Learning under Temporally Correlated Noise,"Gokul Swamy, Sanjiban Choudhury, Drew Bagnell, Steven Wu",https://proceedings.mlr.press/v162/swamy22a.html,ICML 2022
Causal Dynamics Learning for Task-Independent State Abstraction,"Zizhao Wang, Xuesu Xiao, Zifan Xu, Yuke Zhu, Peter Stone",https://proceedings.mlr.press/v162/wang22ae.html,ICML 2022
ROCK: Causal Inference Principles for Reasoning about Commonsense Causality,"Jiayao Zhang, Hongming Zhang, Weijie Su, Dan Roth",https://proceedings.mlr.press/v162/zhang22am.html,ICML 2022
Certified Robustness Against Natural Language Attacks by Causal Intervention,"Haiteng Zhao, Chang Ma, Xinshuai Dong, Anh Tuan Luu, Zhi-Hong Deng, Hanwang Zhang",https://proceedings.mlr.press/v162/zhao22g.html,ICML 2022
IDYNO: Learning Nonparametric DAGs from Interventional Dynamic Data,"Tian Gao, Debarun Bhattacharjya, Elliot Nelson, Miao Liu, Yue Yu",https://proceedings.mlr.press/v162/gao22a.html,ICML 2022
Interventional Contrastive Learning with Meta Semantic Regularizer,"Wenwen Qiang, Jiangmeng Li, Changwen Zheng, Bing Su, Hui Xiong",https://proceedings.mlr.press/v162/qiang22a.html,ICML 2022
Continual Learning with Guarantees via Weight Interval Constraints,"Maciej Wołczyk, Karol Piczak, Bartosz Wójcik, Lukasz Pustelnik, Paweł Morawiecki, Jacek Tabor, Tomasz Trzcinski, Przemysław Spurek",https://proceedings.mlr.press/v162/wolczyk22a.html,ICML 2022
Fairness Interventions as (Dis)Incentives for Strategic Manipulation,"Xueru Zhang, Mohammad Mahdi Khalili, Kun Jin, Parinaz Naghizadeh, Mingyan Liu",https://proceedings.mlr.press/v162/zhang22l.html,ICML 2022
Meaningfully debugging model mistakes using conceptual counterfactual explanations,"Abubakar Abid, Mert Yuksekgonul, James Zou",https://proceedings.mlr.press/v162/abid22a.html,ICML 2022
A query-optimal algorithm for finding counterfactuals,"Guy Blanc, Caleb Koch, Jane Lange, Li-Yang Tan",https://proceedings.mlr.press/v162/blanc22a.html,ICML 2022
Counterfactual Transportability: A Formal Approach,"Juan D Correa, Sanghack Lee, Elias Bareinboim",https://proceedings.mlr.press/v162/correa22a.html,ICML 2022
Robust Counterfactual Explanations for Tree-Based Ensembles,"Sanghamitra Dutta, Jason Long, Saumitra Mishra, Cecilia Tilli, Daniele Magazzeni",https://proceedings.mlr.press/v162/dutta22a.html,ICML 2022
"Contrastive Mixture of Posteriors for Counterfactual Inference, Data Integration and Fairness","Adam Foster, Arpi Vezer, Craig A. Glastonbury, Paidi Creed, Samer Abujudeh, Aaron Sim",https://proceedings.mlr.press/v162/foster22a.html,ICML 2022
Equivalence Analysis between Counterfactual Regret Minimization and Online Mirror Descent,"Weiming Liu, Huacong Jiang, Bin Li, Houqiang Li",https://proceedings.mlr.press/v162/liu22e.html,ICML 2022
Continuous-Time Modeling of Counterfactual Outcomes Using Neural Controlled Differential Equations,"Nabeel Seedat, Fergus Imrie, Alexis Bellot, Zhaozhi Qian, Mihaela van der Schaar",https://proceedings.mlr.press/v162/seedat22b.html,ICML 2022
Partial Counterfactual Identification from Observational and Experimental Data,"Junzhe Zhang, Jin Tian, Elias Bareinboim",https://proceedings.mlr.press/v162/zhang22ab.html,ICML 2022
Learning from Counterfactual Links for Link Prediction,"Tong Zhao, Gang Liu, Daheng Wang, Wenhao Yu, Meng Jiang",https://proceedings.mlr.press/v162/zhao22e.html,ICML 2022
Counterfactual Prediction for Outcome-Oriented Treatments,"Hao Zou, Bo Li, Jiangang Han, Shuiping Chen, Xuetao Ding, Peng Cui",https://proceedings.mlr.press/v162/zou22a.html,ICML 2022
 Learning Individually Fair Classifier with Path-Specific Causal-Effect Constraint ,"Yoichi Chikahara, Shinsaku Sakaue, Akinori Fujino, Hisashi Kashima",https://proceedings.mlr.press/v130/chikahara21a.html,AIStats 2021
 An Analysis of the Adaptation Speed of Causal Models ,"Rémi Le Priol, Reza Babanezhad, Yoshua Bengio, Simon Lacoste-Julien",https://proceedings.mlr.press/v130/le-priol21a.html,AIStats 2021
 Regret Minimization for Causal Inference on Large Treatment Space ,"Akira Tanimoto, Tomoya Sakai, Takashi Takenouchi, Hisashi Kashima",https://proceedings.mlr.press/v130/tanimoto21a.html,AIStats 2021
 Bayesian Model Averaging for Causality Estimation and its Approximation based on Gaussian Scale Mixture Distributions ,Shunsuke Horii,https://proceedings.mlr.press/v130/horii21a.html,AIStats 2021
 Exploiting Equality Constraints in Causal Inference ,"Chi Zhang, Carlos Cinelli, Bryant Chen, Judea Pearl",https://proceedings.mlr.press/v130/zhang21c.html,AIStats 2021
 Budgeted and Non-Budgeted Causal Bandits ,"Vineet Nair, Vishakha Patil, Gaurav Sinha",https://proceedings.mlr.press/v130/nair21a.html,AIStats 2021
 Differentiable Causal Discovery Under Unmeasured Confounding ,"Rohit Bhattacharya, Tushar Nagarajan, Daniel Malinsky, Ilya Shpitser",https://proceedings.mlr.press/v130/bhattacharya21a.html,AIStats 2021
 Causal Inference with Selectively Deconfounded Data ,"Kyra Gan, Andrew Li, Zachary Lipton, Sridhar Tayur",https://proceedings.mlr.press/v130/gan21a.html,AIStats 2021
 Causal Modeling with Stochastic Confounders ,"Thanh Vinh Vo, Pengfei Wei, Wicher Bergsma, Tze Yun Leong",https://proceedings.mlr.press/v130/vinh-vo21a.html,AIStats 2021
 Causal Autoregressive Flows ,"Ilyes Khemakhem, Ricardo Monti, Robert Leech, Aapo Hyvarinen",https://proceedings.mlr.press/v130/khemakhem21a.html,AIStats 2021
 Causal Inference under Networked Interference and Intervention Policy Enhancement ,"Yunpu Ma, Volker Tresp",https://proceedings.mlr.press/v130/ma21c.html,AIStats 2021
 Learning Prediction Intervals for Regression: Generalization and Calibration ,"Haoxian Chen, Ziyi Huang, Henry Lam, Huajie Qian, Haofeng Zhang",https://proceedings.mlr.press/v130/chen21b.html,AIStats 2021
 Model updating after interventions paradoxically introduces bias ,"James Liley, Samuel Emerson, Bilal Mateen, Catalina Vallejos, Louis Aslett, Sebastian Vollmer",https://proceedings.mlr.press/v130/liley21a.html,AIStats 2021
 Generating Interpretable Counterfactual Explanations By Implicit Minimisation of Epistemic and Aleatoric Uncertainties ,"Lisa Schut, Oscar Key, Rory Mc Grath, Luca Costabello, Bogdan Sacaleanu, medb corcoran, Yarin Gal",https://proceedings.mlr.press/v130/schut21a.html,AIStats 2021
 Counterfactual Representation Learning with Balancing Weights ,"Serge Assaad, Shuxi Zeng, Chenyang Tao, Shounak Datta, Nikhil Mehta, Ricardo Henao, Fan Li, Lawrence Carin",https://proceedings.mlr.press/v130/assaad21a.html,AIStats 2021
 Obtaining Causal Information by Merging Datasets with MAXENT ,"Sergio H. Garrido Mejia, Elke Kirschbaum, Dominik Janzing",https://proceedings.mlr.press/v151/garrido-mejia22a.html,AIStats 2022
 Causally motivated shortcut removal using auxiliary labels ,"Maggie Makar, Ben Packer, Dan Moldovan, Davis Blalock, Yoni Halpern, Alexander D’Amour",https://proceedings.mlr.press/v151/makar22a.html,AIStats 2022
 Bayesian Inference and Partial Identification in Multi-Treatment Causal Inference with Unobserved Confounding ,"Jiajing Zheng, Alexander D’Amour, Alexander Franks",https://proceedings.mlr.press/v151/zheng22a.html,AIStats 2022
 Identifiable Energy-based Representations: An Application to Estimating Heterogeneous Causal Effects ,"Yao Zhang, Jeroen Berrevoets, Mihaela Van Der Schaar",https://proceedings.mlr.press/v151/zhang22b.html,AIStats 2022
 Almost Optimal Universal Lower Bound for Learning Causal DAGs with Atomic Interventions ,"Vibhor Porwal, Piyush Srivastava, Gaurav Sinha",https://proceedings.mlr.press/v151/porwal22a.html,AIStats 2022
 Identification in Tree-shaped Linear Structural Causal Models ,"Benito Van Der Zander, Marcel Wienöbst, Markus Bläser, Maciej Liskiewicz",https://proceedings.mlr.press/v151/van-der-zander22a.html,AIStats 2022
 Neural score matching for high-dimensional causal inference ,"Oscar Clivio, Fabian Falck, Brieuc Lehmann, George Deligiannidis, Chris Holmes",https://proceedings.mlr.press/v151/clivio22a.html,AIStats 2022
 Minimax Kernel Machine Learning for a Class of Doubly Robust Functionals with Application to Proximal Causal Inference ,"Amiremad Ghassami, Andrew Ying, Ilya Shpitser, Eric Tchetgen Tchetgen",https://proceedings.mlr.press/v151/ghassami22a.html,AIStats 2022
 GalilAI: Out-of-Task Distribution Detection using Causal Active Experimentation for Safe Transfer RL ,"Sumedh A. Sontakke, Stephen Iota, Zizhao Hu, Arash Mehrjou, Laurent Itti, Bernhard Schölkopf",https://proceedings.mlr.press/v151/sontakke22a.html,AIStats 2022
 Variance Minimization in the Wasserstein Space for Invariant Causal Prediction ,"Guillaume G. Martinet, Alexander Strzalkowski, Barbara Engelhardt",https://proceedings.mlr.press/v151/martinet22a.html,AIStats 2022
 Testing Granger Non-Causality in Panels with Cross-Sectional Dependencies ,"Lenon Minorics, Caner Turkmen, David Kernert, Patrick Bloebaum, Laurent Callot, Dominik Janzing",https://proceedings.mlr.press/v151/minorics22a.html,AIStats 2022
 Causal Effect Identification with Context-specific Independence Relations of Control Variables ,"Ehsan Mokhtarian, Fateme Jamshidi, Jalal Etesami, Negar Kiyavash",https://proceedings.mlr.press/v151/mokhtarian22a.html,AIStats 2022
